_3eme_filles;qp_a_proximite_o_n;nb_candidats_g;taux_de_reussite_g;nb_mentions_tb_g;taux_d_acces_6eme_3eme
78;Dans QP+200m    ;124;81.0;22;95.0
58;Dans QP+200m    ;104;88.0;14;89.0
58;Dans QP+200m    ;110;76.0;14;92.0
39;Hors QP         ;49;80.0;7;95.0
39;Hors QP         ;48;75.0;5;94.0
125;Hors QP         ;167;87.0;38;92.0
125;Hors QP         ;169;88.0;36;94.0
86;Dans QP         ;119;87.0;26;91.0
86;Dans QP         ;104;91.0;24;90.0
96;Hors QP         ;100;82.0;19;91.0
96;Hors QP         ;106;78.0;22;89.0
89;Hors QP         ;128;88.0;50;95.0
89;Hors QP         ;122;82.0;40;91.0
142;Dans QP         ;266;78.0;79;95.0
142;Dans QP         ;240;69.0;40;94.0
97;Dans QP+200m    ;159;82.0;33;92.0
97;Dans QP+200m    ;148;84.0;37;95.0
88;Dans QP+200m    ;144;62.0;17;93.0
88;Dans QP+200m    ;128;75.0;13;93.0
91;Hors QP         ;126;97.0;44;89.0
91;Hors QP         ;111;100.0;18;95.0
41;Hors QP         ;65;89.0;12;91.0
41;Hors QP         ;65;88.0;11;86.0
88;Dans QP         ;130;78.0;28;89.0
88;Dans QP         ;129;84.0;33;88.0
33;Dans QP+200m    ;72;68.0;2;78.0
33;Dans QP+200m    ;49;78.0;4;83.0
62;Hors QP         ;88;88.0;11;93.0
62;Hors QP         ;99;93.0;11;84.0
58;Hors QP         ;73;92.0;5;94.0
58;Hors QP         ;89;91.0;7;85.0
34;Hors QP         ;64;94.0;22;93.0
34;Hors QP         ;98;90.0;8;95.0
35;Hors QP         ;30;83.0;2;91.0
23;Hors QP         ;33;94.0;3;89.0
23;Hors QP         ;33;88.0;7;98.0
34;Dans QP+200m    ;53;75.0;6;89.0
34;Dans QP+200m    ;53;75.0;1;90.0
44;Dans QP         ;83;87.0;13;86.0
44;Dans QP         ;116;89.0;27;89.0
50;Dans QP         ;82;91.0;16;89.0
50;Dans QP         ;73;95.0;13;91.0
39;Dans QP         ;64;80.0;11;82.0
39;Dans QP         ;60;93.0;12;88.0
48;Dans QP+200m    ;88;90.0;29;92.0
48;Dans QP+200m    ;72;93.0;20;93.0
38;Dans QP         ;70;76.0;10;91.0
38;Dans QP         ;79;81.0;18;91.0
34;Dans QP+200m    ;49;86.0;11;93.0
34;Dans QP+200m    ;50;76.0;3;89.0
74;Dans QP+200m    ;133;79.0;26;92.0
74;Dans QP+200m    ;136;76.0;33;89.0
51;Dans QP+200m    ;88;82.0;9;80.0
51;Dans QP+200m    ;106;73.0;10;78.0
39;Dans QP         ;62;79.0;2;85.0
39;Dans QP         ;65;65.0;8;85.0
30;Hors QP         ;64;64.0;2;88.0
30;Hors QP         ;64;73.0;9;83.0
36;Dans QP+200m    ;65;72.0;5;76.0
36;Dans QP+200m    ;65;69.0;4;80.0
75;Dans QP+200m    ;121;86.0;31;89.0
75;Dans QP+200m    ;103;74.0;11;86.0
70;Dans QP+200m    ;130;86.0;35;87.0
70;Dans QP+200m    ;112;87.0;13;88.0
45;Dans QP         ;130;85.0;29;87.0
45;Dans QP         ;103;85.0;19;93.0
21;Hors QP         ;53;77.0;10;92.0
21;Hors QP         ;55;73.0;12;92.0
47;Hors QP         ;83;89.0;21;94.0
47;Hors QP         ;78;83.0;17;98.0
121;Dans QP+200-300m;209;93.0;106;92.0
121;Dans QP+200-300m;211;97.0;105;90.0
46;Hors QP         ;68;82.0;14;88.0
46;Hors QP         ;81;88.0;27;73.0
40;Hors QP         ;90;87.0;22;88.0
40;Hors QP         ;94;81.0;21;89.0
77;Dans QP+200-300m;130;87.0;50;89.0
77;Dans QP+200-300m;118;90.0;39;93.0
10;Hors QP         ;30;80.0;7;78.0
84;Dans QP+200m    ;154;71.0;29;85.0
84;Dans QP+200m    ;150;73.0;26;88.0
36;Dans QP+200-300m;53;47.0;2;83.0
36;Dans QP+200-300m;48;58.0;2;83.0
31;Dans QP         ;43;65.0;6;89.0
31;Dans QP         ;37;54.0;2;75.0
52;Dans QP         ;103;75.0;15;84.0
52;Dans QP         ;95;87.0;19;92.0
42;Hors QP         ;57;84.0;9;89.0
42;Hors QP         ;60;87.0;10;77.0
68;Dans QP+200-300m;118;89.0;33;92.0
68;Dans QP+200-300m;107;80.0;15;89.0
42;Dans QP         ;86;86.0;20;95.0
42;Dans QP         ;75;87.0;13;99.0
58;Dans QP+200m    ;136;83.0;27;92.0
58;Dans QP+200m    ;108;72.0;11;90.0
85;Dans QP+200m    ;178;87.0;47;90.0
85;Dans QP+200m    ;170;92.0;54;89.0
69;Dans QP+200-300m;119;89.0;40;92.0
69;Dans QP+200-300m;119;91.0;40;98.0
88;Hors QP         ;122;65.0;12;83.0
88;Hors QP         ;111;64.0;16;86.0
72;Dans QP+200-300m;95;84.0;22;93.0
72;Dans QP+200-300m;105;87.0;42;87.0
95;Dans QP+200m    ;129;74.0;27;83.0
95;Dans QP+200m    ;127;75.0;28;87.0
104;Dans QP+200m    ;154;70.0;27;77.0
104;Dans QP+200m    ;168;84.0;22;84.0
80;Dans QP+200-300m;122;68.0;15;84.0
80;Dans QP+200-300m;144;72.0;17;85.0
71;Dans QP         ;127;86.0;25;86.0
71;Dans QP         ;132;77.0;30;87.0
55;Dans QP+200m    ;99;88.0;30;94.0
55;Dans QP+200m    ;104;85.0;19;88.0
83;Hors QP         ;121;70.0;12;85.0
83;Hors QP         ;149;86.0;36;85.0
48;Dans QP+200m    ;102;99.0;41;92.0
48;Dans QP+200m    ;91;88.0;26;90.0
67;Dans QP+200m    ;140;92.0;48;91.0
67;Dans QP+200m    ;136;82.0;36;94.0
58;Dans QP         ;136;85.0;33;91.0
58;Dans QP         ;113;94.0;52;87.0
91;Dans QP+200-300m;140;84.0;26;86.0
91;Dans QP+200-300m;143;87.0;40;87.0
41;Hors QP         ;58;84.0;6;92.0
41;Hors QP         ;81;93.0;13;88.0
45;Dans QP+200m    ;82;78.0;20;85.0
45;Dans QP+200m    ;82;74.0;20;74.0
70;Dans QP+200-300m;136;90.0;50;93.0
70;Dans QP+200-300m;143;93.0;58;92.0
68;Dans QP         ;105;86.0;21;89.0
68;Dans QP         ;101;79.0;20;82.0
42;Dans QP+200m    ;57;68.0;5;90.0
42;Dans QP+200m    ;64;81.0;11;94.0
29;Dans QP         ;42;71.0;3;82.0
29;Dans QP         ;46;87.0;5;76.0
63;Dans QP+200m    ;90;61.0;9;82.0
63;Dans QP+200m    ;77;82.0;12;82.0
77;Dans QP+200-300m;142;89.0;44;92.0
77;Dans QP+200-300m;152;92.0;36;91.0
92;Hors QP         ;142;84.0;39;88.0
92;Hors QP         ;133;80.0;26;90.0
61;Dans QP+200m    ;136;88.0;30;93.0
61;Dans QP+200m    ;126;90.0;40;92.0
73;Hors QP         ;130;72.0;18;90.0
73;Hors QP         ;117;85.0;19;88.0
59;Dans QP         ;96;98.0;50;87.0
59;Dans QP         ;99;92.0;33;94.0
68;Dans QP         ;105;69.0;10;89.0
68;Dans QP         ;110;74.0;9;86.0
36;Dans QP         ;107;81.0;14;89.0
36;Dans QP         ;91;74.0;19;88.0
47;Hors QP         ;77;88.0;13;92.0
47;Hors QP         ;119;88.0;19;88.0
53;Hors QP         ;118;82.0;20;88.0
53;Hors QP         ;93;75.0;4;89.0
46;Dans QP+200m    ;88;90.0;28;91.0
46;Dans QP+200m    ;92;87.0;34;89.0
69;Dans QP+200-300m;151;94.0;43;87.0
69;Dans QP+200-300m;125;90.0;32;94.0
59;Hors QP         ;107;82.0;18;81.0
59;Hors QP         ;99;71.0;12;89.0
63;Hors QP         ;105;85.0;19;92.0
63;Hors QP         ;113;79.0;15;88.0
91;Hors QP         ;162;82.0;18;86.0
91;Hors QP         ;147;84.0;32;88.0
65;Dans QP+200-300m;133;81.0;25;92.0
65;Dans QP+200-300m;131;82.0;27;89.0
84;Dans QP+200m    ;104;92.0;14;89.0
84;Dans QP+200m    ;96;91.0;14;92.0
45;Dans QP+200m    ;73;92.0;16;90.0
45;Dans QP+200m    ;79;96.0;19;89.0
84;Dans QP+200m    ;166;84.0;24;88.0
84;Dans QP+200m    ;149;87.0;23;91.0
92;Dans QP+200m    ;156;70.0;12;78.0
92;Dans QP+200m    ;150;75.0;8;88.0
82;Dans QP+200m    ;200;86.0;32;91.0
82;Dans QP+200m    ;173;84.0;35;90.0
75;Hors QP         ;145;90.0;17;88.0
75;Hors QP         ;99;98.0;14;88.0
62;Dans QP+200m    ;90;74.0;7;87.0
62;Dans QP+200m    ;107;79.0;27;93.0
59;Dans QP         ;91;77.0;16;84.0
59;Dans QP         ;104;82.0;20;88.0
39;Dans QP+200m    ;62;81.0;6;82.0
39;Dans QP+200m    ;74;78.0;5;88.0
79;Dans QP+200-300m;113;90.0;30;93.0
79;Dans QP+200-300m;138;95.0;50;91.0
18;Hors QP         ;37;89.0;12;97.0
67;Dans QP         ;89;90.0;25;93.0
67;Dans QP         ;95;85.0;25;91.0
72;Dans QP         ;102;78.0;16;88.0
72;Dans QP         ;125;81.0;19;87.0
41;Hors QP         ;85;82.0;5;97.0
41;Hors QP         ;82;87.0;19;91.0
47;Dans QP         ;72;76.0;7;88.0
47;Dans QP         ;82;73.0;7;77.0
102;Dans QP+200m    ;123;84.0;45;85.0
102;Dans QP+200m    ;160;88.0;56;87.0
67;Hors QP         ;141;82.0;22;91.0
67;Hors QP         ;145;86.0;50;91.0
71;Dans QP+200m    ;166;78.0;37;86.0
71;Dans QP+200m    ;160;83.0;59;90.0
23;Hors QP         ;62;79.0;24;96.0
23;Hors QP         ;51;90.0;20;96.0
58;Hors QP         ;85;74.0;15;95.0
58;Hors QP         ;95;80.0;22;88.0
44;Hors QP         ;97;84.0;12;96.0
44;Hors QP         ;95;83.0;14;93.0
62;Hors QP         ;102;74.0;22;72.0
62;Hors QP         ;93;62.0;13;77.0
101;Dans QP+200-300m;167;84.0;47;93.0
101;Dans QP+200-300m;157;87.0;40;92.0
81;Dans QP+200m    ;109;88.0;27;91.0
81;Dans QP+200m    ;133;92.0;34;93.0
52;Dans QP+200m    ;94;82.0;14;87.0
52;Dans QP+200m    ;137;80.0;22;91.0
61;Dans QP+200-300m;96;89.0;40;87.0
61;Dans QP+200-300m;97;85.0;42;91.0
25;Dans QP+200m    ;44;95.0;8;91.0
25;Dans QP+200m    ;58;81.0;14;86.0
48;Hors QP         ;61;87.0;11;83.0
48;Hors QP         ;73;75.0;7;86.0
30;Hors QP         ;80;88.0;17;88.0
30;Hors QP         ;74;93.0;22;88.0
38;Hors QP         ;56;91.0;6;94.0
38;Hors QP         ;64;89.0;16;90.0
53;Dans QP+200m    ;80;89.0;15;82.0
53;Dans QP+200m    ;101;87.0;20;91.0
87;Dans QP+200m    ;160;77.0;34;94.0
87;Dans QP+200m    ;159;78.0;27;94.0
79;Dans QP+200m    ;153;78.0;32;93.0
79;Dans QP+200m    ;159;88.0;48;95.0
35;Hors QP         ;76;79.0;12;95.0
35;Hors QP         ;69;83.0;11;94.0
91;Dans QP+200-300m;97;93.0;33;91.0
91;Dans QP+200-300m;116;87.0;30;92.0
64;Dans QP+200m    ;112;88.0;24;92.0
64;Dans QP+200m    ;96;81.0;29;89.0
38;Dans QP+200-300m;68;82.0;23;80.0
38;Dans QP+200-300m;47;79.0;10;73.0
57;Dans QP+200m    ;96;73.0;14;96.0
57;Dans QP+200m    ;90;78.0;28;94.0
110;Dans QP+200m    ;195;85.0;55;96.0
110;Dans QP+200m    ;183;85.0;41;92.0
71;Dans QP+200m    ;100;89.0;33;78.0
71;Dans QP+200m    ;111;85.0;28;86.0
58;Dans QP         ;116;94.0;28;90.0
58;Dans QP         ;89;94.0;30;93.0
71;Dans QP+200m    ;98;83.0;20;84.0
71;Dans QP+200m    ;125;78.0;13;79.0
42;Dans QP+200m    ;39;100.0;7;93.0
42;Dans QP+200m    ;40;85.0;11;89.0
70;Dans QP+200m    ;126;79.0;28;91.0
70;Dans QP+200m    ;120;81.0;30;92.0
66;Dans QP         ;145;82.0;26;92.0
66;Dans QP         ;129;84.0;16;93.0
36;Dans QP         ;56;91.0;14;89.0
36;Dans QP         ;63;87.0;12;76.0
48;Hors QP         ;97;82.0;14;91.0
48;Hors QP         ;80;89.0;19;87.0
49;Dans QP+200m    ;87;89.0;19;84.0
49;Dans QP+200m    ;86;83.0;21;76.0
90;Dans QP+200m    ;139;78.0;27;88.0
90;Dans QP+200m    ;156;74.0;28;85.0
50;Dans QP         ;87;83.0;17;89.0
50;Dans QP         ;107;93.0;32;89.0
63;Dans QP+200m    ;141;77.0;34;91.0
63;Dans QP+200m    ;135;77.0;28;91.0
49;Hors QP         ;102;87.0;18;92.0
49;Hors QP         ;147;95.0;52;91.0
71;Hors QP         ;153;78.0;41;95.0
71;Hors QP         ;127;83.0;18;93.0
23;Dans QP         ;32;91.0;4;86.0
23;Dans QP         ;56;80.0;7;95.0
46;Hors QP         ;107;79.0;24;92.0
46;Hors QP         ;108;83.0;40;93.0
77;Dans QP+200m    ;120;89.0;38;90.0
77;Dans QP+200m    ;110;87.0;36;93.0
25;Dans QP         ;55;93.0;12;72.0
25;Dans QP         ;43;88.0;10;77.0
65;Hors QP         ;76;79.0;8;88.0
65;Hors QP         ;104;77.0;11;82.0
92;Dans QP+200-300m;161;91.0;56;91.0
92;Dans QP+200-300m;134;95.0;46;91.0
51;Hors QP         ;90;73.0;12;89.0
51;Hors QP         ;95;87.0;22;83.0
60;Hors QP         ;103;87.0;32;95.0
60;Hors QP         ;106;87.0;25;95.0
56;Hors QP         ;106;69.0;13;89.0
56;Hors QP         ;84;87.0;25;97.0
42;Dans QP+200m    ;71;66.0;5;87.0
42;Dans QP+200m    ;64;84.0;8;81.0
82;Dans QP+200m    ;128;83.0;25;92.0
82;Dans QP+200m    ;139;87.0;22;89.0
49;Dans QP+200m    ;71;79.0;32;84.0
49;Dans QP+200m    ;61;89.0;20;82.0
36;Hors QP         ;62;95.0;17;94.0
36;Hors QP         ;82;85.0;17;97.0
57;Dans QP         ;117;91.0;28;92.0
57;Dans QP         ;103;87.0;13;98.0
90;Dans QP+200m    ;127;98.0;48;93.0
90;Dans QP+200m    ;121;98.0;51;92.0
79;Dans QP+200m    ;116;88.0;20;82.0
79;Dans QP+200m    ;125;85.0;25;89.0
94;Dans QP         ;132;80.0;16;89.0
94;Dans QP         ;121;89.0;23;83.0
72;Hors QP         ;107;77.0;17;87.0
72;Hors QP         ;111;91.0;27;89.0
30;Hors QP         ;55;96.0;8;86.0
30;Hors QP         ;47;89.0;12;96.0
88;Dans QP         ;130;87.0;6;89.0
88;Dans QP         ;118;93.0;11;91.0
101;Hors QP         ;181;97.0;22;92.0
101;Hors QP         ;184;79.0;17;86.0
41;Dans QP         ;70;77.0;3;90.0
41;Dans QP         ;62;84.0;3;92.0
83;Dans QP         ;115;80.0;12;84.0
83;Dans QP         ;90;84.0;16;91.0
144;Dans QP+200m    ;213;85.0;20;80.0
144;Dans QP+200m    ;207;83.0;14;86.0
102;Dans QP         ;150;75.0;2;83.0
102;Dans QP         ;149;79.0;7;75.0
45;Hors QP         ;73;73.0;18;89.0
45;Hors QP         ;63;70.0;19;96.0
30;Hors QP         ;70;90.0;24;88.0
30;Hors QP         ;46;91.0;11;93.0
36;Dans QP         ;64;78.0;17;84.0
36;Dans QP         ;62;61.0;11;85.0
41;Hors QP         ;60;92.0;13;84.0
41;Hors QP         ;81;89.0;21;94.0
28;Hors QP         ;45;84.0;7;96.0
28;Hors QP         ;60;85.0;15;93.0
92;Dans QP+200m    ;154;84.0;24;88.0
92;Dans QP+200m    ;127;84.0;29;87.0
55;Hors QP         ;106;77.0;15;87.0
55;Hors QP         ;91;81.0;17;90.0
74;Dans QP+200m    ;116;78.0;36;84.0
74;Dans QP+200m    ;123;78.0;15;90.0
62;Dans QP         ;90;92.0;16;88.0
62;Dans QP         ;88;70.0;7;87.0
68;Dans QP         ;109;80.0;16;82.0
68;Dans QP         ;107;84.0;15;86.0
57;Hors QP         ;64;92.0;13;79.0
57;Hors QP         ;73;79.0;5;80.0
60;Hors QP         ;95;92.0;30;91.0
60;Hors QP         ;95;88.0;17;94.0
52;Hors QP         ;86;90.0;6;94.0
52;Hors QP         ;100;82.0;13;93.0
64;Dans QP+200-300m;124;77.0;14;91.0
64;Dans QP+200-300m;113;71.0;6;88.0
57;Dans QP+200m    ;114;91.0;30;95.0
57;Dans QP+200m    ;114;89.0;21;92.0
54;Hors QP         ;94;80.0;31;93.0
54;Hors QP         ;105;84.0;26;89.0
34;Hors QP         ;54;83.0;10;90.0
34;Hors QP         ;58;74.0;9;86.0
29;Dans QP+200-300m;69;67.0;9;81.0
29;Dans QP+200-300m;65;69.0;10;92.0
37;Hors QP         ;69;78.0;6;90.0
37;Hors QP         ;79;67.0;13;93.0
108;Dans QP+200m    ;220;90.0;46;94.0
108;Dans QP+200m    ;230;90.0;64;92.0
50;Hors QP         ;97;93.0;26;90.0
50;Hors QP         ;87;92.0;27;95.0
36;Hors QP         ;79;73.0;7;84.0
36;Hors QP         ;67;75.0;8;82.0
54;Hors QP         ;111;80.0;20;96.0
54;Hors QP         ;109;89.0;25;96.0
40;Dans QP+200m    ;78;76.0;20;86.0
40;Dans QP+200m    ;98;91.0;37;86.0
44;Hors QP         ;96;71.0;9;93.0
44;Hors QP         ;91;82.0;20;90.0
55;Hors QP         ;94;67.0;7;86.0
55;Hors QP         ;72;74.0;6;96.0
62;Dans QP+200-300m;100;87.0;31;87.0
62;Dans QP+200-300m;108;90.0;34;87.0
55;Dans QP         ;97;73.0;7;81.0
55;Dans QP         ;103;73.0;7;83.0
61;Dans QP+200m    ;132;81.0;15;80.0
61;Dans QP+200m    ;133;80.0;10;82.0
34;Dans QP+200m    ;67;75.0;16;91.0
34;Dans QP+200m    ;71;86.0;15;90.0
72;Dans QP         ;112;92.0;28;94.0
72;Dans QP         ;105;96.0;22;94.0
94;Dans QP+200-300m;108;95.0;34;95.0
94;Dans QP+200-300m;138;99.0;35;96.0
64;Dans QP+200m    ;102;88.0;16;93.0
64;Dans QP+200m    ;111;95.0;18;95.0
54;Hors QP         ;86;92.0;13;93.0
54;Hors QP         ;100;86.0;25;97.0
57;Hors QP         ;101;83.0;21;93.0
57;Hors QP         ;110;79.0;15;97.0
46;Dans QP+200m    ;71;73.0;8;81.0
46;Dans QP+200m    ;86;90.0;10;76.0
68;Dans QP+200-300m;124;89.0;25;93.0
68;Dans QP+200-300m;144;88.0;37;90.0
96;Hors QP         ;154;88.0;17;94.0
96;Hors QP         ;126;79.0;23;94.0
56;Hors QP         ;133;86.0;44;96.0
56;Hors QP         ;109;88.0;27;97.0
74;Dans QP+200m    ;142;86.0;17;89.0
74;Dans QP+200m    ;135;78.0;23;90.0
62;Hors QP         ;107;88.0;18;84.0
62;Hors QP         ;95;92.0;21;86.0
65;Dans QP+200m    ;112;88.0;14;92.0
65;Dans QP+200m    ;126;82.0;22;92.0
66;Dans QP+200-300m;133;80.0;13;99.0
66;Dans QP+200-300m;142;93.0;39;94.0
92;Dans QP         ;142;82.0;16;94.0
92;Dans QP         ;182;88.0;49;95.0
85;Dans QP         ;153;80.0;32;87.0
85;Dans QP         ;149;84.0;26;89.0
70;Dans QP+200m    ;154;85.0;21;91.0
70;Dans QP+200m    ;155;85.0;20;91.0
59;Dans QP         ;113;76.0;24;95.0
59;Dans QP         ;114;73.0;18;87.0
76;Dans QP+200m    ;153;86.0;17;93.0
76;Dans QP+200m    ;140;80.0;16;88.0
65;Dans QP         ;99;80.0;12;88.0
65;Dans QP         ;117;77.0;13;85.0
65;Hors QP         ;140;79.0;18;87.0
65;Hors QP         ;117;80.0;17;88.0
97;Dans QP+200m    ;135;80.0;13;88.0
97;Dans QP+200m    ;160;76.0;17;94.0
53;Dans QP+200m    ;155;75.0;16;93.0
53;Dans QP+200m    ;113;77.0;19;93.0
49;Dans QP+200-300m;106;89.0;24;92.0
49;Dans QP+200-300m;144;88.0;32;91.0
68;Dans QP+200-300m;149;76.0;15;88.0
68;Dans QP+200-300m;147;77.0;19;86.0
64;Dans QP         ;117;85.0;23;95.0
64;Dans QP         ;109;81.0;23;95.0
80;Dans QP         ;187;82.0;22;92.0
80;Dans QP         ;169;79.0;22;90.0
47;Hors QP         ;74;70.0;7;90.0
47;Hors QP         ;85;85.0;11;86.0
84;Hors QP         ;154;80.0;29;92.0
84;Hors QP         ;152;80.0;15;90.0
34;Dans QP         ;79;91.0;8;83.0
34;Dans QP         ;107;79.0;9;93.0
73;Dans QP+200m    ;127;79.0;14;86.0
73;Dans QP+200m    ;109;79.0;17;88.0
87;Dans QP+200m    ;158;87.0;20;90.0
87;Dans QP+200m    ;127;94.0;33;91.0
68;Dans QP         ;105;86.0;19;88.0
68;Dans QP         ;132;76.0;19;85.0
81;Dans QP+200-300m;162;90.0;38;94.0
81;Dans QP+200-300m;173;94.0;70;93.0
72;Dans QP         ;128;61.0;14;96.0
72;Dans QP         ;131;80.0;22;89.0
60;Dans QP+200m    ;110;87.0;19;89.0
60;Dans QP+200m    ;133;77.0;21;92.0
84;Dans QP+200m    ;186;80.0;42;92.0
84;Dans QP+200m    ;144;90.0;40;92.0
39;Dans QP+200m    ;78;85.0;7;88.0
39;Dans QP+200m    ;87;83.0;9;90.0
49;Dans QP+200m    ;108;83.0;14;87.0
49;Dans QP+200m    ;109;90.0;18;89.0
85;Dans QP+200m    ;155;65.0;17;87.0
85;Dans QP+200m    ;152;74.0;10;89.0
68;Dans QP+200m    ;132;88.0;20;93.0
68;Dans QP+200m    ;123;78.0;14;88.0
94;Dans QP+200-300m;166;65.0;26;92.0
94;Dans QP+200-300m;136;78.0;27;96.0
59;Dans QP+200m    ;135;90.0;29;91.0
59;Dans QP+200m    ;110;83.0;22;92.0
77;Dans QP+200m    ;129;63.0;16;96.0
77;Dans QP+200m    ;133;85.0;22;94.0
78;Hors QP         ;121;89.0;15;95.0
78;Hors QP         ;139;86.0;22;93.0
101;Dans QP+200-300m;169;83.0;40;89.0
101;Dans QP+200-300m;196;84.0;46;88.0
57;Dans QP+200-300m;126;93.0;29;96.0
57;Dans QP+200-300m;96;91.0;11;93.0
54;Hors QP         ;107;92.0;25;92.0
54;Hors QP         ;98;85.0;24;94.0
69;Hors QP         ;126;85.0;25;92.0
69;Hors QP         ;111;86.0;34;91.0
81;Dans QP+200-300m;139;86.0;16;95.0
81;Dans QP+200-300m;132;92.0;39;94.0
34;Hors QP         ;57;77.0;10;90.0
34;Hors QP         ;62;76.0;9;92.0
67;Hors QP         ;141;74.0;21;90.0
67;Hors QP         ;143;84.0;29;91.0
91;Dans QP         ;130;83.0;17;93.0
91;Dans QP         ;83;89.0;21;90.0
86;Dans QP+200-300m;151;89.0;29;95.0
86;Dans QP+200-300m;170;77.0;41;90.0
54;Hors QP         ;94;84.0;17;96.0
54;Hors QP         ;119;90.0;28;88.0
55;Hors QP         ;93;88.0;8;88.0
55;Hors QP         ;119;76.0;12;90.0
53;Dans QP+200m    ;87;83.0;23;89.0
53;Dans QP+200m    ;96;74.0;25;90.0
51;Dans QP         ;88;95.0;31;90.0
51;Dans QP         ;93;95.0;32;96.0
53;Dans QP+200m    ;113;67.0;14;84.0
53;Dans QP+200m    ;118;76.0;23;86.0
56;Hors QP         ;90;70.0;18;84.0
56;Hors QP         ;86;80.0;17;79.0
50;Hors QP         ;83;77.0;12;95.0
50;Hors QP         ;91;78.0;20;90.0
54;Dans QP+200m    ;102;90.0;43;95.0
54;Dans QP+200m    ;101;85.0;38;88.0
57;Dans QP+200m    ;117;85.0;37;94.0
57;Dans QP+200m    ;111;86.0;40;94.0
71;Dans QP+200-300m;124;82.0;48;91.0
71;Dans QP+200-300m;128;95.0;51;90.0
85;Dans QP+200m    ;105;85.0;20;84.0
85;Dans QP+200m    ;134;78.0;18;88.0
37;Dans QP         ;80;79.0;18;85.0
37;Dans QP         ;79;82.0;15;86.0
39;Dans QP+200m    ;89;89.0;18;96.0
39;Dans QP+200m    ;85;80.0;18;89.0
78;Dans QP+200m    ;125;77.0;15;92.0
78;Dans QP+200m    ;177;76.0;21;93.0
115;Dans QP+200m    ;182;82.0;34;91.0
115;Dans QP+200m    ;190;86.0;34;90.0
116;Hors QP         ;219;89.0;52;92.0
116;Hors QP         ;209;89.0;30;91.0
33;Dans QP         ;91;99.0;23;94.0
33;Dans QP         ;67;78.0;13;93.0
70;Hors QP         ;133;91.0;18;87.0
70;Hors QP         ;116;86.0;22;93.0
56;Dans QP+200m    ;98;93.0;15;93.0
56;Dans QP+200m    ;96;92.0;22;89.0
77;Dans QP+200m    ;170;91.0;27;92.0
77;Dans QP+200m    ;164;81.0;27;94.0
62;Hors QP         ;160;86.0;36;85.0
62;Hors QP         ;129;63.0;19;91.0
80;Dans QP+200m    ;127;90.0;19;93.0
80;Dans QP+200m    ;131;86.0;11;93.0
45;Dans QP         ;81;84.0;11;85.0
45;Dans QP         ;78;81.0;8;95.0
61;Dans QP+200-300m;120;89.0;13;90.0
61;Dans QP+200-300m;116;85.0;17;91.0
72;Dans QP+200m    ;134;91.0;46;94.0
72;Dans QP+200m    ;136;85.0;42;90.0
57;Dans QP+200m    ;139;84.0;20;91.0
57;Dans QP+200m    ;117;85.0;19;94.0
69;Hors QP         ;115;89.0;22;89.0
69;Hors QP         ;148;72.0;11;90.0
46;Dans QP         ;85;81.0;14;84.0
46;Dans QP         ;85;96.0;17;90.0
69;Dans QP+200m    ;135;88.0;39;93.0
69;Dans QP+200m    ;138;90.0;45;92.0
50;Dans QP+200m    ;97;92.0;32;93.0
50;Dans QP+200m    ;104;94.0;34;91.0
56;Dans QP         ;82;84.0;14;94.0
56;Dans QP         ;102;80.0;17;87.0
69;Dans QP+200m    ;96;70.0;7;88.0
69;Dans QP+200m    ;113;76.0;10;87.0
75;Hors QP         ;93;77.0;10;94.0
75;Hors QP         ;100;77.0;19;97.0
63;Hors QP         ;79;80.0;10;93.0
63;Hors QP         ;93;83.0;18;96.0
122;Hors QP         ;193;83.0;41;91.0
122;Hors QP         ;202;81.0;36;87.0
85;Dans QP+200m    ;156;77.0;42;93.0
85;Dans QP+200m    ;131;79.0;38;90.0
96;Hors QP         ;187;72.0;25;95.0
96;Hors QP         ;169;81.0;17;95.0
71;Dans QP         ;122;78.0;19;90.0
71;Dans QP         ;111;78.0;23;93.0
60;Hors QP         ;88;84.0;12;88.0
60;Hors QP         ;101;96.0;26;90.0
99;Dans QP+200m    ;159;82.0;33;92.0
99;Dans QP+200m    ;148;84.0;37;95.0
95;Dans QP+200m    ;126;81.0;26;86.0
95;Dans QP+200m    ;143;86.0;35;89.0
79;Dans QP         ;97;96.0;19;92.0
79;Dans QP         ;102;90.0;18;92.0
38;Dans QP+200m    ;72;68.0;2;78.0
38;Dans QP+200m    ;49;78.0;4;83.0
49;Hors QP         ;69;93.0;6;89.0
49;Hors QP         ;82;72.0;5;89.0
31;Hors QP         ;59;93.0;7;88.0
31;Hors QP         ;70;81.0;6;86.0
17;Hors QP         ;32;100.0;2;78.0
17;Hors QP         ;34;97.0;5;93.0
42;Hors QP         ;79;89.0;10;82.0
42;Hors QP         ;77;88.0;5;87.0
34;Hors QP         ;64;94.0;22;93.0
34;Hors QP         ;98;90.0;8;95.0
69;Hors QP         ;130;88.0;17;89.0
69;Hors QP         ;138;89.0;17;90.0
25;Hors QP         ;30;83.0;2;91.0
169;Hors QP         ;289;70.0;7;95.0
169;Hors QP         ;252;60.0;12;94.0
110;Hors QP         ;125;88.0;19;92.0
110;Hors QP         ;167;95.0;14;93.0
254;Hors QP         ;267;80.0;14;96.0
254;Hors QP         ;355;74.0;15;96.0
177;Hors QP         ;392;63.0;25;95.0
177;Hors QP         ;451;58.0;21;93.0
211;Hors QP         ;331;60.0;12;94.0
