_3eme_filles;qp_a_proximite_o_n;nb_candidats_g;taux_de_reussite_g;nb_mentions_tb_g;taux_d_acces_6eme_3eme
57;Dans QP         ;111;89.0;31;88.0
57;Dans QP         ;130;92.0;34;89.0
52;Hors QP         ;74;82.0;12;92.0
52;Hors QP         ;77;73.0;15;84.0
44;Dans QP+200m    ;82;89.0;19;92.0
44;Dans QP+200m    ;83;84.0;24;94.0
39;Dans QP+200m    ;77;84.0;15;93.0
39;Dans QP+200m    ;68;91.0;17;87.0
62;Dans QP+200m    ;109;87.0;23;93.0
62;Dans QP+200m    ;127;84.0;25;91.0
43;Hors QP         ;83;76.0;12;92.0
43;Hors QP         ;92;95.0;12;89.0
92;Dans QP+200m    ;119;88.0;18;92.0
92;Dans QP+200m    ;123;90.0;18;93.0
28;Dans QP+200m    ;73;73.0;1;85.0
28;Dans QP+200m    ;49;71.0;7;85.0
80;Hors QP         ;130;72.0;18;90.0
80;Hors QP         ;117;85.0;19;88.0
52;Dans QP+200m    ;123;77.0;12;87.0
52;Dans QP+200m    ;137;72.0;29;88.0
68;Dans QP         ;91;95.0;20;89.0
68;Dans QP         ;95;91.0;24;86.0
60;Dans QP+200m    ;133;91.0;28;99.0
60;Dans QP+200m    ;137;94.0;29;96.0
88;Hors QP         ;176;86.0;45;92.0
88;Hors QP         ;123;90.0;17;92.0
60;Dans QP+200m    ;114;75.0;12;90.0
60;Dans QP+200m    ;111;71.0;10;91.0
74;Dans QP+200m    ;155;86.0;16;90.0
74;Dans QP+200m    ;165;97.0;40;95.0
51;Dans QP         ;70;93.0;11;92.0
51;Dans QP         ;101;88.0;22;95.0
71;Hors QP         ;93;94.0;12;93.0
71;Hors QP         ;115;82.0;27;93.0
111;Hors QP         ;147;95.0;50;94.0
111;Hors QP         ;189;89.0;42;93.0
50;Dans QP         ;122;80.0;27;86.0
50;Dans QP         ;118;88.0;17;87.0
96;Dans QP+200m    ;200;86.0;32;91.0
96;Dans QP+200m    ;173;84.0;35;90.0
68;Dans QP+200-300m;159;84.0;32;90.0
68;Dans QP+200-300m;167;80.0;34;90.0
77;Dans QP+200m    ;132;89.0;20;82.0
77;Dans QP+200m    ;128;92.0;23;81.0
88;Dans QP+200-300m;113;90.0;30;93.0
88;Dans QP+200-300m;138;95.0;50;91.0
25;Dans QP         ;64;86.0;11;97.0
25;Dans QP         ;59;81.0;9;84.0
39;Dans QP+200m    ;99;79.0;12;73.0
39;Dans QP+200m    ;66;89.0;7;78.0
58;Hors QP         ;73;75.0;8;78.0
58;Hors QP         ;71;70.0;9;83.0
60;Dans QP+200-300m;96;71.0;20;93.0
60;Dans QP+200-300m;97;81.0;24;92.0
66;Dans QP+200m    ;118;64.0;23;90.0
66;Dans QP+200m    ;115;75.0;36;87.0
77;Dans QP+200-300m;151;82.0;32;92.0
77;Dans QP+200-300m;114;94.0;37;90.0
37;Hors QP         ;64;83.0;20;84.0
37;Hors QP         ;64;84.0;12;84.0
42;Hors QP         ;97;86.0;27;89.0
42;Hors QP         ;110;85.0;29;96.0
31;Dans QP+200m    ;53;81.0;3;79.0
31;Dans QP+200m    ;35;86.0;1;84.0
95;Dans QP+200-300m;167;84.0;47;93.0
95;Dans QP+200-300m;157;87.0;40;92.0
47;Dans QP+200m    ;80;85.0;22;80.0
47;Dans QP+200m    ;106;79.0;11;91.0
83;Dans QP+200m    ;94;82.0;14;87.0
83;Dans QP+200m    ;137;80.0;22;91.0
92;Dans QP+200m    ;141;84.0;16;86.0
92;Dans QP+200m    ;162;78.0;21;89.0
72;Dans QP         ;112;88.0;19;87.0
72;Dans QP         ;124;82.0;17;91.0
81;Dans QP+200m    ;157;69.0;14;89.0
81;Dans QP+200m    ;181;91.0;28;89.0
73;Hors QP         ;118;70.0;8;88.0
73;Hors QP         ;133;72.0;9;93.0
37;Dans QP         ;111;72.0;17;87.0
37;Dans QP         ;86;76.0;7;92.0
82;Hors QP         ;111;74.0;24;90.0
82;Hors QP         ;110;68.0;20;96.0
